Pages,URL,HRef,Visits,Views,Average Time Viewed (seconds),Average Time to Serve (ms)
"Ministers - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/eng/00024.html,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/00024.html,215,260,103,0
"Home - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca//eic/site/icgc.nsf/eng/home,http://www.ic.gc.ca//eic/site/icgc.nsf/eng/home,186,244,78,0
"Formulaires, rapports, guides… - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_07111.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_07111.html,166,218,95,0
700 MHz Spectrum Auction FAQs - 700�MHz Spectrum Auction,http://www.ic.gc.ca/eic/site/ic-gc.nsf/eng/07398.html,http://www.ic.gc.ca/eic/site/ic-gc.nsf/eng/07398.html,162,203,229,0
"Canadian Statistics Advisory Council: Biographies - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/eng/07671.html,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/07671.html,156,190,345,0
"Contactez-nous par courriel - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/frm-fra/YDES-8VAL9G,http://www.ic.gc.ca/eic/site/icgc.nsf/frm-fra/YDES-8VAL9G,152,157,186,0
Mettre à jour vos renseignements personnels - Mon compte à Industrie Canada - Industrie Canada,http://strategis.ic.gc.ca/app/scr/registration-inscription/miseajour/miseajourDinfo.html,http://strategis.ic.gc.ca/app/scr/registration-inscription/miseajour/miseajourDinfo.html,144,180,44,0
"John Knubley - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_07015.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_07015.html,142,163,108,0
"Avis de confidentialité - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/fra/07139.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/07139.html,138,151,125,0
"Normes pour le service au public - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/fra/07543.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/07543.html,137,140,64,0
"Contactez-nous par téléphone / télécopieur - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/fra/07148.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/07148.html,131,143,132,0
"Politique d’Innovation, Sciences et Développement économique Canada relative à l’utilisation d’Internet et des réseaux électroniques - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_07652.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_07652.html,127,148,133,0
"Persistent and per-session cookies - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07147.html,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07147.html,124,128,39,0
"Consultations publiques - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_02888.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_02888.html,120,146,58,0
Accéder à votre compte - Mon compte à Industrie Canada - Industrie Canada,http://strategis.ic.gc.ca/app/scr/registration-inscription/accueil.html?lang=fra,http://strategis.ic.gc.ca/app/scr/registration-inscription/accueil.html?lang=fra,117,152,45,0
Modifiez votre question de récupération du mot de passe - Mon compte à Industrie Canada - Industrie Canada,http://www.ic.gc.ca/app/scr/registration-inscription/miseajour/miseajourQuestionSecret.html,http://www.ic.gc.ca/app/scr/registration-inscription/miseajour/miseajourQuestionSecret.html,113,131,32,0
Change your challenge question - My ISED Account - ISED,http://strategis.ic.gc.ca/app/scr/registration-inscription/update/updateSecretQuestion.html,http://strategis.ic.gc.ca/app/scr/registration-inscription/update/updateSecretQuestion.html,107,133,38,0
,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=fra&tpcId=101,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=fra&tpcId=101,106,151,174,0
